"species_list"	"threat_count"
"582"	"Hynobius tokyoensis"	"7"
"583"	"Hynobius yiwuensis"	"3"
"584"	"Liua tsinpaensis"	"3"
"585"	"Pachyhynobius shangchengensis"	"3"
"586"	"Pseudohynobius flavomaculatus"	"3"
"587"	"Pseudohynobius shuichengensis"	"3"
"588"	"Aquiloeurycea galeanae"	"4"
"589"	"Batrachoseps regius"	"0"
"590"	"Batrachoseps simatus"	"4"
"591"	"Batrachoseps stebbinsi"	"7"
"592"	"Batrachoseps wrighti"	"1"
"593"	"Bolitoglossa chica"	"2"
"594"	"Bolitoglossa diminuta"	"0"
"595"	"Bolitoglossa gracilis"	"2"
"596"	"Bolitoglossa guaramacalensis"	"0"
"597"	"Bolitoglossa insularis"	"1"
"598"	"Bolitoglossa lignicolor"	"4"
"599"	"Bolitoglossa medemi"	"5"
"600"	"Bolitoglossa mombachoensis"	"2"
"601"	"Bolitoglossa mulleri"	"4"
"602"	"Bolitoglossa obscura"	"0"
"603"	"Bolitoglossa orestes"	"4"
"604"	"Bolitoglossa palmata"	"6"
"605"	"Bolitoglossa pesrubra"	"2"
"606"	"Bolitoglossa rostrata"	"5"
"607"	"Bolitoglossa silverstonei"	"5"
"608"	"Bolitoglossa sima"	"3"
"609"	"Bolitoglossa sombra"	"2"
"610"	"Chiropterotriton orculus"	"3"
"611"	"Dendrotriton megarhinus"	"0"
"612"	"Dendrotriton sanctibarbarus"	"6"
"613"	"Dendrotriton xolocalcae"	"4"
"614"	"Eurycea chisholmensis"	"3"
"615"	"Eurycea junaluska"	"5"
"616"	"Eurycea latitans"	"1"
"617"	"Eurycea nana"	"6"
"618"	"Eurycea neotenes"	"1"
"619"	"Eurycea rathbuni"	"4"
"620"	"Eurycea sosorum"	"3"
"621"	"Eurycea tridentifera"	"3"
"622"	"Eurycea wallacei"	"2"
"623"	"Eurycea waterlooensis"	"1"
"624"	"Gyrinophilus palleucus"	"11"
"625"	"Hydromantes brunus"	"3"
"626"	"Hydromantes shastae"	"3"
"627"	"Isthmura bellii"	"6"
"628"	"Isthmura boneti"	"3"
"629"	"Nototriton gamezi"	"0"
"630"	"Nototriton guanacaste"	"0"
"631"	"Nototriton saslaya"	"0"
"632"	"Nototriton tapanti"	"2"
"633"	"Oedipina alfaroi"	"4"
"634"	"Pseudoeurycea cochranae"	"4"
"635"	"Pseudoeurycea gadovii"	"4"
"636"	"Pseudoeurycea mixteca"	"2"
"637"	"Speleomantes flavus"	"3"
"638"	"Speleomantes genei"	"5"
"639"	"Speleomantes sarrabusensis"	"1"
"640"	"Thorius macdougalli"	"2"
"641"	"Plethodon amplus"	"1"
"642"	"Plethodon asupak"	"1"
"643"	"Plethodon cheoah"	"1"
"644"	"Plethodon fourchensis"	"2"
"645"	"Plethodon hubrichti"	"3"
"646"	"Plethodon meridianus"	"2"
"647"	"Plethodon petraeus"	"3"
"648"	"Plethodon shenandoah"	"6"
"649"	"Plethodon shermani"	"1"
